Paste the RECORDING and DECK columns into the Session Calendar tab.
Match rows by DATE — the site reads these columns by header name, so they can sit anywhere.

DATE	TOPIC	RECORDING	DECK
8/8/2025	SEO - "Death of Key Words"	https://drive.google.com/file/d/11IC6Zq_69LqPBqLE3uVzyq7JYv7vAfBc/view	https://drive.google.com/file/d/1X1XHu-FCJXrUn-YqDbMG10iDP-dA-UVI/view
8/1/2025	Second session on Free AI Tools and How to use them.	https://drive.google.com/file/d/1xpCPZO93n54fB4UEPtlCbAFLjGK8WCF2/view	
7/25/2025	Top Ten Free AI Tools and How to Use Them	https://drive.google.com/file/d/1wIUqvCcEcHXgMV1hQI9EWOB77Bpm_QKW/view	https://drive.google.com/file/d/1Wt9XhX8hsxgO951qUCY5ZYZLilaNV7bN/view
7/18/2025	From Turmoil to Triumph	https://drive.google.com/file/d/14fFJKO4YEzVgC00nv9PvBXFHS8OKHnY9/view	https://drive.google.com/file/d/1TfdjV5a3oQ0hR3wPcJvhPlm77aOZlnpF/view
7/11/2025	Neuroscience of Attention - Part 2	https://drive.google.com/file/d/1v20CfRt9nvkqC93v3W9KBSK6LMKwerM_/view	
6/27/2025	What you don't know about corporate philanthropy	https://drive.google.com/file/d/1tj2cToHZpqPUj-dPszQO0kuoHXx-k2Wv/view	https://drive.google.com/file/d/1FsDelrWkOQxYDbtcH6xsihB0JYNwY7iG/view
6/20/2025	Marketing in the age of AI/business upheaval/geo-political upheaval.	https://drive.google.com/file/d/1SVABjBkL7okRKAzJKAgc609s_7aFxtUP/view	
6/6/2025	Neuroscience of Attention	https://drive.google.com/file/d/18By564-k5JZZXF5GZKt-7wC5N19bbuyL/view	
5/30/2025	Customer success means growth!	https://drive.google.com/file/d/1Xuvdc5n6JqWiANMXvcR2BBmaZd0vBTDG/view	
5/16/2025	Community	https://drive.google.com/file/d/1xbnqrIY2NrmQfxptz6EHAcfz5jSsIU2N/view	
5/9/2025	Contact to Close	https://drive.google.com/file/d/160L1HB0cnkJtXHiNbb2HZ9glUvd4Rn0c/view	https://docs.google.com/presentation/d/1H_KIzLBaEMAKvIBTUNfRdtNUsOIo3bfJE0fBiv2ALHc/edit
5/2/2025	Innovation and Tool Hacker	https://drive.google.com/file/d/1paYY-dulMjtu68QxcvvHtsNEoOcKrVlf/view	
4/25/2025	Ideation of Carbon	https://drive.google.com/file/d/1wXbrAz3UmeacH9asIh9_rqylezwUkwsX/view	
4/18/2025	MaGiCal Stories: 5th Anniversary Celebration	https://drive.google.com/file/d/1r7ORK9nAQ4uUL2YCQtcbLewDY8Gf0VBr/view	
4/11/2025	Get a Grip: Breaking Through the Ceiling for Your Growing Business	https://drive.google.com/file/d/1LAgIyiYukXbMD4geqR1hX994TTChaCCe/view	
4/4/2025	State of AI + Software In 2025	https://drive.google.com/file/d/1Bf3B5ZxNddFA61Uk01acrxdIHQnhe6LI/view	https://drive.google.com/file/d/1tHSHqQTWaamDHY1SnEySeKTiSO4Wnarf/view
3/28/2025	AI is revolutionizing healthcare.	https://drive.google.com/file/d/1GGPQxKllvm8rlQgnfSGKN7HIe29kv3ML/view	
3/21/2025	“Building value in an AI world.”	https://drive.google.com/file/d/1zQmCJtMe9qqzn9MEF8g547Dz1_dbuubS/view	
3/14/2025	Lessons learned from our very own Chris Elwell	https://drive.google.com/file/d/1LiBuXgJgp0Sys1bJmfQnMFWdYgJNv8fp/view	
3/7/2025	Transform Your Career with 'Reinventing Your Career Path'	https://drive.google.com/file/d/1RNFuNHkJE_DX4KuTlXRfeH-AC4cxCg4p/view	https://drive.google.com/file/d/1E_lPvGbdlvycieR9DukglDWOi55bUd7U/view
2/28/2025	"You said it!"	https://drive.google.com/file/d/1PGylVDSRh_zC2CORknLAfrUq3IJlL9ol/view	
2/21/2025	He'll then launch an interactive conversation about pricing and AI. How to price it and how to use it to help with your pricing.	https://drive.google.com/file/d/14rK1GdfR35_q2l6Jvv-2JWtAE7WqDYwf/view	https://drive.google.com/file/d/1jpDOZRAvJWyTK2IXmZliNEOmOU3U4gv9/view
2/14/2025	- What's the most common mistake that managers, especially those who care greatly for their subordinates, commit?	https://drive.google.com/file/d/1j8fJoISdo411ZWQojwqOKfR-4WwQwONc/view	
